Name,GICS Sub-Industry,returns,variances,Group
AT&T Inc-,Integrated Telecommunication Services,-0.3121131211568531,0.35481870116727315,1
Activision Blizzard,Interactive Home Entertainment,0.37236342544409995,0.38722111996380626,3
Alphabet Inc- (Class A),Interactive Media & Services,0.28441848405926873,0.3835812725382469,3
Alphabet Inc- (Class C),Interactive Media & Services,0.2861039098486273,0.38230033069303004,3
Charter Communications,Cable & Satellite,0.30806274057301675,0.34876181446179383,3
Comcast Corp-,Cable & Satellite,0.09498367167267971,0.3799447083473716,0
"Discovery, Inc- (Class A)",Broadcasting,-0.2511221166425406,0.5087992421435377,1
"Discovery, Inc- (Class C)",Broadcasting,-0.28816041507206913,0.5047576796805495,1
Dish Network,Cable & Satellite,-0.13087249482690172,0.617731838766934,4
Electronic Arts,Interactive Home Entertainment,0.2138737510955302,0.3589803556690244,3
"Facebook, Inc-",Interactive Media & Services,0.3503247496426712,0.4579716950002952,3
Fox Corporation (Class A),Movies & Entertainment,-0.25204420028184416,0.4857451523348237,1
Fox Corporation (Class B),Movies & Entertainment,-0.24823630030311514,0.47832636533081274,1
Interpublic Group,Advertising,-0.05381846265645908,0.5696563731085944,4
Live Nation Entertainment,Movies & Entertainment,0.010343875127753144,0.7360154857821619,4
Netflix Inc-,Movies & Entertainment,0.49260828630146664,0.4616714486456392,2
News Corp- Class A,Publishing,0.26785634086155063,0.4887014874503282,3
News Corp- Class B,Publishing,0.25447929211839426,0.5010786704493946,3
Omnicom Group,Advertising,-0.30015536276446486,0.47971952260428935,1
T-Mobile US,Wireless Telecommunication Services,0.4962196369290953,0.4070338229985175,2
Take-Two Interactive,Interactive Home Entertainment,0.26771751721706144,0.4227534983074751,3
The Walt Disney Company,Movies & Entertainment,-0.04459628550443284,0.4622317828319873,0
"Twitter, Inc-",Interactive Media & Services,0.39642147804699995,0.6261427367760778,2
Verizon Communications,Integrated Telecommunication Services,0.025712672345601813,0.2455330826858212,0
