Symbol,S&P 500 Log Return,Predicted S&P 500 Log Return,Actual - Predicted,Return Beta,Constant,R2,Return p value
A,0.2552641793691599,0.04104536556778415,0.2142188138013757,1.1660838518188616,-0.00013588230640889425,0.44,3.925870546908692e-09
AAL,-0.8392120527646973,-0.5740780318035319,-0.265134020961166,2.7780793171470606,-0.00389747375319024,0.5,8.870762734322274e-11
AAP,0.09445343893170666,-0.5939976436539592,0.6884510825856662,0.7972571566761528,-0.003401736144822361,0.07,0.031210018897568564
AAPL,0.38803038984367344,0.23768781329133812,0.15034257655233518,1.8749202211528697,0.0006947725789349432,0.64,2.5791268413094767e-15
ABBV,0.05074078869075116,-0.0030233496642407213,0.05376413835499197,0.9800163128443098,-0.000313770636011226,0.17,0.0006899599673568565
ABC,0.12799739846485192,-0.012456261522291904,0.1404536599871439,1.4393310328052953,-0.0005034667792579085,0.33,7.861189499111189e-07
ABMD,0.4828011404889434,-0.8790239949785812,1.3618251354675255,0.155529600203841,-0.004722903097499194,0.0,0.8599810207230254
ABT,0.23116854056306746,-0.034696217109067694,0.26586475767213524,0.8522489123427607,-0.00044343280951783396,0.32,1.653082918141939e-06
ACN,0.11312025649552471,0.11270775752023923,0.0004124989752854122,0.8773302281051059,0.0003330122044553933,0.4,2.600288400169048e-08
ADBE,0.20256165530178905,0.5482007997407892,-0.345639144439,1.112976755976095,0.00257788475165123,0.43,4.887974842183895e-09
ADI,0.09524417291355111,-0.10457600972518995,0.199820182638741,1.9738580946966549,-0.0011558329622556743,0.48,3.651578900890918e-10
ADM,0.1257114793818186,-0.09570419624167653,0.22141567562349526,0.9173830052785431,-0.000787728417957194,0.25,3.277369276367471e-05
ADP,-0.05453626833659264,-0.015897329214852946,-0.03863893912173966,0.9995378017205385,-0.0003881790828382608,0.37,1.338189903535664e-07
ADSK,0.17473291985429729,0.5970780647865147,-0.42234514493221725,1.0320745407787433,0.002862444997648573,0.25,3.589996811257095e-05
AEE,-0.04476931543226392,0.3234868067849435,-0.3682561222172073,0.09093333001809839,0.001693052666954699,0.01,0.4998575041311606
AEP,-0.1412074004734194,0.44702384812322177,-0.5882312485966417,-0.08210290295101272,0.0024027259397869823,0.01,0.580068128335223
AES,-0.0019147448416401078,0.2407468274874994,-0.24266157232913954,0.7109287289218112,0.001064617076533415,0.21,0.00014085746141949653
AFL,-0.21637694578021005,-0.3572143489129333,0.1408374031327235,1.0529995032394044,-0.002219934629710823,0.4,2.09090261228139e-08
AIG,-0.2806234619675889,-0.47911892523816935,0.19849546327058054,1.1669228518414194,-0.002902968494473908,0.21,0.00016053468370531303
AIV,-0.5570853599724201,-0.03923905273509268,-0.5178463072373277,0.22486157977885415,-0.00027702214325420096,0.02,0.23863497549255824
