Symbol,Name,GICS Sector,GICS Sub-Industry,ReturnSum
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,-1.1941791941353586
CCL,Carnival Corp-,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",-1.0301100565120578
FTI,TechnipFMC,Energy,Oil & Gas Equipment & Services,-1.0208849380724132
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",-0.972695658550947
MRO,Marathon Oil Corp-,Energy,Oil & Gas Exploration & Production,-0.8718390006688423
HFC,HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,-0.8641889161808649
UAL,United Airlines Holdings,Industrials,Airlines,-0.8640115078160306
AAL,American Airlines Group,Industrials,Airlines,-0.8577473227633163
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,-0.8402130915783346
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,-0.8304474968317663
