Symbol,Name,GICS Sector,GICS Sub-Industry,ReturnSum,Rank
CARR,Carrier Global,Industrials,Building Products,1.160282130498672,1
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,1.0900038846302778,2
NVDA,Nvidia Corporation,Information Technology,Semiconductors,0.9573669643796165,3
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,0.7475282566447277,4
CTLT,Catalent,Health Care,Pharmaceuticals,0.7298512464476516,5
NOW,ServiceNow,Information Technology,Systems Software,0.6699733871646458,6
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,0.6615853982657427,7
LB,L Brands Inc-,Consumer Discretionary,Apparel Retail,0.6420577737444546,8
ALB,Albemarle Corp,Materials,Specialty Chemicals,0.616174076218158,9
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,0.5934223055082839,10
FCX,Freeport-McMoRan Inc-,Materials,Copper,0.5903718846966513,11
AMZN,Amazon-com Inc-,Consumer Discretionary,Internet & Direct Marketing Retail,0.5870607878823648,12
AAPL,Apple Inc-,Information Technology,"Technology Hardware, Storage & Peripherals",0.5850066886487184,13
NEM,Newmont Corporation,Materials,Gold,0.5579811303177848,14
IDXX,IDEXX Laboratories,Health Care,Health Care Equipment,0.557468845625408,15
ALGN,Align Technology,Health Care,Health Care Supplies,0.5496060853183735,16
FDX,FedEx Corporation,Industrials,Air Freight & Logistics,0.5407896761753364,17
CDNS,Cadence Design Systems,Information Technology,Application Software,0.5402059499901952,18
BIO,Bio-Rad Laboratories,Health Care,Life Sciences Tools & Services,0.5262335214865743,19
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,0.505774950797786,20
POOL,Pool Corporation,Consumer Discretionary,Distributors,0.4965333380969241,21
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,0.496219628075778,22
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,0.49618599176756106,23
DHR,Danaher Corp-,Health Care,Health Care Equipment,0.49544811120358645,24
PAYC,Paycom,Information Technology,Application Software,0.49472243368290947,25
NFLX,Netflix Inc-,Communication Services,Movies & Entertainment,0.4926082848178339,26
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,0.4885151572016184,27
PWR,Quanta Services Inc-,Industrials,Construction & Engineering,0.48561667490866967,28
SNPS,Synopsys Inc-,Information Technology,Application Software,0.481983264660812,29
DXCM,DexCom,Health Care,Health Care Equipment,0.4789855821800302,30
ROL,Rollins Inc-,Industrials,Environmental & Facilities Services,0.4724202951329062,31
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,0.46529501854092814,32
QCOM,QUALCOMM Inc-,Information Technology,Semiconductors,0.4628478116792394,33
ADBE,Adobe Inc-,Information Technology,Application Software,0.45591322347172536,34
ODFL,Old Dominion Freight Line,Industrials,Trucking,0.45516326399229,35
DVA,DaVita Inc-,Health Care,Health Care Facilities,0.44518526229512645,36
MSCI,MSCI Inc,Financials,Financial Exchanges & Data,0.4406263210767065,37
ADSK,Autodesk Inc-,Information Technology,Application Software,0.4394009995012311,38
TER,Teradyne,Information Technology,Semiconductor Equipment,0.4265580898645567,39
CRM,Salesforce-com,Information Technology,Application Software,0.4244612114271149,40
LRCX,Lam Research,Information Technology,Semiconductor Equipment,0.40731993403460365,41
TWTR,"Twitter, Inc-",Communication Services,Interactive Media & Services,0.3964214911975432,42
BBY,Best Buy Co- Inc-,Consumer Discretionary,Computer & Electronics Retail,0.3938530593877658,43
TT,Trane Technologies plc,Industrials,Building Products,0.3935273302049609,44
HOLX,Hologic,Health Care,Health Care Equipment,0.3916521323262714,45
SIVB,SVB Financial,Financials,Regional Banks,0.390601188322762,46
TYL,Tyler Technologies,Information Technology,Application Software,0.37915328826056793,47
RMD,ResMed,Health Care,Health Care Equipment,0.37831536080193473,48
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,0.37489845741947647,49
PKI,PerkinElmer,Health Care,Health Care Equipment,0.3734006947488524,50
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,0.37236342874530237,51
OTIS,Otis Worldwide,Industrials,Industrial Machinery,0.3709156039112713,52
MSFT,Microsoft Corp-,Information Technology,Systems Software,0.3672014309413498,53
DE,Deere & Co-,Industrials,Agricultural & Farm Machinery,0.36678529814525973,54
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,0.3666126880707452,55
BLL,Ball Corp,Materials,Metal & Glass Containers,0.3666102209244855,56
TGT,Target Corp-,Consumer Discretionary,General Merchandise Stores,0.36376926086086314,57
MNST,Monster Beverage,Consumer Staples,Soft Drinks,0.35963777560391463,58
CLX,The Clorox Company,Consumer Staples,Household Products,0.3557523008748831,59
IPGP,IPG Photonics Corp-,Information Technology,Electronic Manufacturing Services,0.3556093775550835,60
SWKS,Skyworks Solutions,Information Technology,Semiconductors,0.3529464650709997,61
QRVO,Qorvo,Information Technology,Semiconductors,0.352725015640317,62
ANET,Arista Networks,Information Technology,Communications Equipment,0.3518976888008183,63
FB,"Facebook, Inc-",Communication Services,Interactive Media & Services,0.35032474671606906,64
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,0.34590282206772827,65
A,Agilent Technologies Inc,Health Care,Health Care Equipment,0.34198797107092105,66
ZTS,Zoetis,Health Care,Pharmaceuticals,0.3406551864318317,67
MXIM,Maxim Integrated Products Inc,Information Technology,Semiconductors,0.3395071280829143,68
ANSS,ANSYS,Information Technology,Application Software,0.33343003230402246,69
CTAS,Cintas Corporation,Industrials,Diversified Support Services,0.3292846764161368,70
DPZ,Domino's Pizza,Consumer Discretionary,Restaurants,0.32530788909934927,71
EQIX,Equinix,Real Estate,Specialized REITs,0.32372024314645387,72
EBAY,eBay Inc-,Consumer Discretionary,Internet & Direct Marketing Retail,0.3220300230750581,73
NKE,"Nike, Inc-",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.3211858519134694,74
LOW,Lowe's Cos-,Consumer Discretionary,Home Improvement Retail,0.32090599733783165,75
MKTX,MarketAxess,Financials,Financial Exchanges & Data,0.31649076187750325,76
DHI,D- R- Horton,Consumer Discretionary,Homebuilding,0.31446953941485845,77
CPRT,Copart Inc,Industrials,Diversified Support Services,0.3139929811586626,78
AWK,American Water Works Company Inc,Utilities,Water Utilities,0.3106115445116302,79
BLK,BlackRock,Financials,Asset Management & Custody Banks,0.3105717467988143,80
XLNX,Xilinx,Information Technology,Semiconductors,0.3096209045907017,81
CHTR,Charter Communications,Communication Services,Cable & Satellite,0.3080627414128685,82
VAR,Varian Medical Systems,Health Care,Health Care Equipment,0.30212861848121975,83
URI,"United Rentals, Inc-",Industrials,Trading Companies & Distributors,0.29486435655417154,84
INTU,Intuit Inc-,Information Technology,Application Software,0.2939115366025362,85
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores,0.2926953708229121,86
EL,Estée Lauder Companies,Consumer Staples,Personal Products,0.28947372229595203,87
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,0.2894601496809628,88
NEE,NextEra Energy,Utilities,Multi-Utilities,0.2883300796565891,89
MCHP,Microchip Technology,Information Technology,Semiconductors,0.28781421518942807,90
GOOG,Alphabet Inc- (Class C),Communication Services,Interactive Media & Services,0.2861039087656536,91
