Symbol,Name,GICS Sector,GICS Sub-Industry,ReturnSum,Rank
A,Agilent Technologies Inc,Health Care,Health Care Equipment,0.34198797107092105,66
AAL,American Airlines Group,Industrials,Airlines,-0.8577473227633163,498
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,-0.05470954890915891,337
AAPL,Apple Inc-,Information Technology,"Technology Hardware, Storage & Peripherals",0.5850066886487184,13
ABBV,AbbVie Inc-,Health Care,Pharmaceuticals,0.11105344883253565,210
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,0.21389124878623988,130
ABMD,ABIOMED Inc,Health Care,Health Care Equipment,0.1979670597211225,143
ABT,Abbott Laboratories,Health Care,Health Care Equipment,0.27287220311700366,100
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,0.2057894196768757,137
ADBE,Adobe Inc-,Information Technology,Application Software,0.45591322347172536,34
ADI,"Analog Devices, Inc-",Information Technology,Semiconductors,0.18371682956058066,155
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,0.15104685530241113,180
ADP,Automatic Data Processing,Information Technology,Internet Services & Infrastructure,0.0026838288322323933,300
ADSK,Autodesk Inc-,Information Technology,Application Software,0.4394009995012311,38
AEE,Ameren Corp,Utilities,Multi-Utilities,0.06932343814696651,244
AEP,American Electric Power,Utilities,Electric Utilities,0.0034554422745713964,299
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,0.12324833252932876,202
AFL,AFLAC Inc,Financials,Life & Health Insurance,-0.27018893002241384,432
AIG,American International Group,Financials,Property & Casualty Insurance,-0.36815755955467466,458
AIV,Apartment Investment & Management,Real Estate,Residential REITs,-0.556163634872064,483
AIZ,Assurant,Financials,Multi-line Insurance,0.010692853335058317,290
AJG,Arthur J- Gallagher & Co-,Financials,Insurance Brokers,0.22995082564739278,120
AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,0.14631841827940661,185
ALB,Albemarle Corp,Materials,Specialty Chemicals,0.616174076218158,9
ALGN,Align Technology,Health Care,Health Care Supplies,0.5496060853183735,16
ALK,Alaska Air Group Inc,Industrials,Airlines,-0.4548308666271623,475
ALL,Allstate Corp,Financials,Property & Casualty Insurance,-0.13871387579274597,381
ALLE,Allegion,Industrials,Building Products,-0.04393296351918252,320
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,0.16460219875443727,171
AMAT,Applied Materials Inc-,Information Technology,Semiconductor Equipment,0.15975159069057554,174
AMCR,Amcor plc,Materials,Paper Packaging,0.1626685569062829,172
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,0.7475282566447277,4
AME,AMETEK Inc-,Industrials,Electrical Components & Equipment,0.17777830424893182,160
AMGN,Amgen Inc-,Health Care,Biotechnology,0.0720489505038131,241
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,0.14347125057975063,188
AMT,American Tower Corp-,Real Estate,Specialized REITs,0.130403999806731,196
AMZN,Amazon-com Inc-,Consumer Discretionary,Internet & Direct Marketing Retail,0.5870607878823648,12
ANET,Arista Networks,Information Technology,Communications Equipment,0.3518976888008183,63
ANSS,ANSYS,Information Technology,Application Software,0.33343003230402246,69
ANTM,Anthem,Health Care,Managed Health Care,0.11153304392064456,209
AON,Aon plc,Financials,Insurance Brokers,0.02842802352824947,275
AOS,A-O- Smith Corp,Industrials,Building Products,0.08110254275379702,236
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,-0.8402130915783346,497
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,0.09099160994810518,227
APH,Amphenol Corp,Information Technology,Electronic Components,0.1880103227449581,154
APTV,Aptiv PLC,Consumer Discretionary,Auto Parts & Equipment,0.1745094418147346,165
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,0.03472634937497787,270
ATO,Atmos Energy,Utilities,Gas Utilities,-0.0692929440192529,342
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,0.37236342874530237,51
AVB,AvalonBay Communities,Real Estate,Residential REITs,-0.2365410797065124,418
AVGO,Broadcom Inc-,Information Technology,Semiconductors,0.17700237584358547,161
AVY,Avery Dennison Corp,Materials,Paper Packaging,0.12442358412226895,201
AWK,American Water Works Company Inc,Utilities,Water Utilities,0.3106115445116302,79
AXP,American Express Co,Financials,Consumer Finance,-0.048959977699269075,332
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,-0.013816502054396551,310
BA,Boeing Company,Industrials,Aerospace & Defense,-0.6863365167737356,490
BAC,Bank of America Corp,Financials,Diversified Banks,-0.19854723376920447,403
BAX,Baxter International Inc-,Health Care,Health Care Equipment,0.011233313096454367,289
BBY,Best Buy Co- Inc-,Consumer Discretionary,Computer & Electronics Retail,0.3938530593877658,43
BDX,Becton Dickinson,Health Care,Health Care Equipment,-0.02235845974064432,313
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,-0.3016022455703933,440
BF-B,Brown-Forman Corp-,Consumer Staples,Distillers & Vintners,0.20684708959015552,136
BIIB,Biogen Inc-,Health Care,Biotechnology,-0.12705908388306852,371
BIO,Bio-Rad Laboratories,Health Care,Life Sciences Tools & Services,0.5262335214865743,19
BK,The Bank of New York Mellon,Financials,Asset Management & Custody Banks,-0.22690810130734462,415
BKNG,Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail,0.10469128867225663,215
BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,-0.23880100643145852,419
BLK,BlackRock,Financials,Asset Management & Custody Banks,0.3105717467988143,80
BLL,Ball Corp,Materials,Metal & Glass Containers,0.3666102209244855,56
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,0.08236382609175052,233
BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,0.20249781396705657,141
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,0.03435346612968715,271
BSX,Boston Scientific,Health Care,Health Care Equipment,-0.10796378985105548,362
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,-0.16891109372954816,391
BXP,Boston Properties,Real Estate,Office REITs,-0.4064105620927876,467
C,Citigroup Inc-,Financials,Diversified Banks,-0.4245986391615588,469
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,0.22362936771241948,124
CAH,Cardinal Health Inc-,Health Care,Health Care Distributors,0.020938516114256345,279
CARR,Carrier Global,Industrials,Building Products,1.160282130498672,1
CAT,Caterpillar Inc-,Industrials,Construction Machinery & Heavy Trucks,0.1669376629870385,168
CB,Chubb Limited,Financials,Property & Casualty Insurance,-0.013508767005987465,309
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,-0.3098810267401859,442
CBRE,CBRE Group,Real Estate,Real Estate Services,0.024329598672920838,278
CCI,Crown Castle International Corp-,Real Estate,Specialized REITs,0.2211219272139715,126
CCL,Carnival Corp-,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",-1.0301100565120578,504
CDNS,Cadence Design Systems,Information Technology,Application Software,0.5402059499901952,18
CDW,CDW,Information Technology,Technology Distributors,0.007587346481159329,297
CE,Celanese,Materials,Specialty Chemicals,0.0192639207089087,281
CERN,Cerner,Health Care,Health Care Technology,0.09822985315986443,218
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,-0.39668601370067336,464
CFG,Citizens Financial Group,Financials,Regional Banks,-0.17969343956792727,398
CHD,Church & Dwight,Consumer Staples,Household Products,0.2602150183811318,107
