Symbol,Name,Date,Log Return
A,Agilent Technologies Inc,2020-03-09,-0.104710095
A,Agilent Technologies Inc,2020-03-12,-0.08200568
A,Agilent Technologies Inc,2020-03-16,-0.076088585
A,Agilent Technologies Inc,2020-03-11,-0.057440937
A,Agilent Technologies Inc,2020-02-24,-0.05521726
AAL,American Airlines Group,2020-03-18,-0.2906819
AAL,American Airlines Group,2020-03-12,-0.18972902
AAL,American Airlines Group,2020-06-11,-0.16855079
AAL,American Airlines Group,2020-03-05,-0.14430542
AAL,American Airlines Group,2020-03-30,-0.13638446
AAP,Advance Auto Parts,2020-03-16,-0.17697045
AAP,Advance Auto Parts,2020-03-12,-0.14035521
AAP,Advance Auto Parts,2020-03-20,-0.1361104
AAP,Advance Auto Parts,2020-03-18,-0.12195634
AAP,Advance Auto Parts,2020-03-11,-0.073493645
AAPL,Apple Inc-,2020-03-16,-0.13770805
AAPL,Apple Inc-,2020-03-12,-0.10397777
AAPL,Apple Inc-,2020-09-03,-0.08344776
AAPL,Apple Inc-,2020-03-09,-0.08239523
AAPL,Apple Inc-,2020-09-08,-0.06966628
ABBV,AbbVie Inc-,2020-03-16,-0.13928773
ABBV,AbbVie Inc-,2020-03-12,-0.07638605
ABBV,AbbVie Inc-,2020-03-23,-0.06482917
ABBV,AbbVie Inc-,2020-06-11,-0.049068835
ABBV,AbbVie Inc-,2020-04-21,-0.04418117
ABC,AmerisourceBergen Corp,2020-03-16,-0.111552484
ABC,AmerisourceBergen Corp,2020-03-23,-0.08650401
ABC,AmerisourceBergen Corp,2020-02-27,-0.079020604
ABC,AmerisourceBergen Corp,2020-03-20,-0.06472458
ABC,AmerisourceBergen Corp,2020-03-25,-0.05800595
ABMD,ABIOMED Inc,2019-11-18,-0.22591358
ABMD,ABIOMED Inc,2020-01-13,-0.117505334
ABMD,ABIOMED Inc,2020-10-29,-0.10571393
ABMD,ABIOMED Inc,2020-03-12,-0.098378494
ABMD,ABIOMED Inc,2020-03-11,-0.08616732
ABT,Abbott Laboratories,2020-03-16,-0.10298188
ABT,Abbott Laboratories,2020-03-20,-0.09129142
ABT,Abbott Laboratories,2020-03-23,-0.07923421
ABT,Abbott Laboratories,2020-03-19,-0.06193449
ABT,Abbott Laboratories,2020-03-09,-0.05947837
ACN,Accenture plc,2020-03-16,-0.08762852
ACN,Accenture plc,2020-03-09,-0.085451245
ACN,Accenture plc,2020-03-12,-0.07925063
ACN,Accenture plc,2020-09-24,-0.07296468
ACN,Accenture plc,2020-06-11,-0.06653001
ADBE,Adobe Inc-,2020-03-16,-0.15952526
ADBE,Adobe Inc-,2020-03-12,-0.10081339
ADBE,Adobe Inc-,2020-03-09,-0.09650155
ADBE,Adobe Inc-,2020-09-08,-0.06251051
ADBE,Adobe Inc-,2020-03-18,-0.05674162
ADI,"Analog Devices, Inc-",2020-03-16,-0.18170047
ADI,"Analog Devices, Inc-",2020-03-18,-0.14897756
ADI,"Analog Devices, Inc-",2020-03-09,-0.09287388
ADI,"Analog Devices, Inc-",2020-03-11,-0.081630245
ADI,"Analog Devices, Inc-",2020-04-01,-0.0640256
ADM,Archer-Daniels-Midland Co,2020-03-12,-0.10608944
ADM,Archer-Daniels-Midland Co,2020-03-20,-0.089023896
ADM,Archer-Daniels-Midland Co,2020-10-30,-0.07657643
ADM,Archer-Daniels-Midland Co,2020-06-11,-0.06857832
ADM,Archer-Daniels-Midland Co,2020-03-18,-0.06563567
ADP,Automatic Data Processing,2020-03-16,-0.16549507
ADP,Automatic Data Processing,2020-03-12,-0.12759383
ADP,Automatic Data Processing,2020-03-18,-0.09554207
ADP,Automatic Data Processing,2020-06-11,-0.087337606
ADP,Automatic Data Processing,2020-07-29,-0.06719233
ADSK,Autodesk Inc-,2020-03-27,-0.12786444
ADSK,Autodesk Inc-,2020-03-12,-0.12689172
ADSK,Autodesk Inc-,2020-04-01,-0.11444144
ADSK,Autodesk Inc-,2020-03-18,-0.08835015
ADSK,Autodesk Inc-,2020-03-09,-0.0802301
AEE,Ameren Corp,2020-03-16,-0.14380826
AEE,Ameren Corp,2020-03-20,-0.13297503
AEE,Ameren Corp,2020-03-12,-0.110636644
AEE,Ameren Corp,2020-04-01,-0.07259872
AEE,Ameren Corp,2020-03-31,-0.07075793
AEP,American Electric Power,2020-03-20,-0.12310283
AEP,American Electric Power,2020-03-19,-0.08841288
AEP,American Electric Power,2020-03-12,-0.08341069
AEP,American Electric Power,2020-04-01,-0.07003837
AEP,American Electric Power,2020-02-27,-0.05886849
AES,AES Corp,2020-03-18,-0.18996313
AES,AES Corp,2020-03-16,-0.16796361
AES,AES Corp,2020-03-12,-0.1506258
AES,AES Corp,2020-03-09,-0.14291792
AES,AES Corp,2020-04-15,-0.09895713
AFL,AFLAC Inc,2020-03-16,-0.17950049
AFL,AFLAC Inc,2020-03-18,-0.17656697
AFL,AFLAC Inc,2020-03-12,-0.1618503
AFL,AFLAC Inc,2020-06-11,-0.09183708
AFL,AFLAC Inc,2020-03-09,-0.08145367
AIG,American International Group,2020-03-12,-0.23376094
AIG,American International Group,2020-03-16,-0.20359896
AIG,American International Group,2020-03-18,-0.1695495
AIG,American International Group,2020-03-09,-0.14263336
AIG,American International Group,2020-04-01,-0.11526042
AIV,Apartment Investment & Management,2020-03-16,-0.25991344
AIV,Apartment Investment & Management,2020-03-18,-0.17991476
AIV,Apartment Investment & Management,2020-11-03,-0.1751246
AIV,Apartment Investment & Management,2020-03-23,-0.112805985
AIV,Apartment Investment & Management,2020-03-20,-0.09688247
AIZ,Assurant,2020-03-16,-0.21984847
AIZ,Assurant,2020-03-18,-0.14007005
AIZ,Assurant,2020-03-12,-0.11496128
AIZ,Assurant,2020-03-09,-0.093098566
AIZ,Assurant,2020-06-11,-0.087901525
AJG,Arthur J- Gallagher & Co-,2020-03-18,-0.16528976
AJG,Arthur J- Gallagher & Co-,2020-03-16,-0.120326236
AJG,Arthur J- Gallagher & Co-,2020-03-12,-0.09734431
AJG,Arthur J- Gallagher & Co-,2020-03-09,-0.068752035
AJG,Arthur J- Gallagher & Co-,2020-06-11,-0.060979504
AKAM,Akamai Technologies Inc,2020-03-09,-0.092423156
AKAM,Akamai Technologies Inc,2020-10-28,-0.09128864
AKAM,Akamai Technologies Inc,2020-03-19,-0.088791825
AKAM,Akamai Technologies Inc,2020-03-12,-0.08348646
AKAM,Akamai Technologies Inc,2020-03-20,-0.07572821
ALB,Albemarle Corp,2020-09-23,-0.16913712
ALB,Albemarle Corp,2020-03-20,-0.1474195
ALB,Albemarle Corp,2020-03-16,-0.14279555
ALB,Albemarle Corp,2020-03-09,-0.12409833
ALB,Albemarle Corp,2020-06-11,-0.11808125
ALGN,Align Technology,2020-03-16,-0.1916358
ALGN,Align Technology,2020-03-18,-0.14941552
ALGN,Align Technology,2020-03-11,-0.1208888
ALGN,Align Technology,2020-06-11,-0.11589738
ALGN,Align Technology,2020-03-12,-0.11553509
ALK,Alaska Air Group Inc,2020-03-12,-0.2644671
ALK,Alaska Air Group Inc,2020-03-18,-0.2581004
ALK,Alaska Air Group Inc,2020-03-16,-0.15410683
ALK,Alaska Air Group Inc,2020-06-11,-0.15314667
ALK,Alaska Air Group Inc,2020-03-05,-0.13396272
ALL,Allstate Corp,2020-03-18,-0.15186006
ALL,Allstate Corp,2020-03-09,-0.11385896
ALL,Allstate Corp,2020-03-12,-0.10169023
ALL,Allstate Corp,2020-03-16,-0.0877073
ALL,Allstate Corp,2020-06-11,-0.07311282
ALLE,Allegion,2020-03-16,-0.13479708
ALLE,Allegion,2020-03-20,-0.12808451
ALLE,Allegion,2020-03-12,-0.104509
ALLE,Allegion,2020-07-23,-0.084473066
ALLE,Allegion,2020-04-01,-0.08418989
ALXN,Alexion Pharmaceuticals,2020-03-12,-0.08804284
ALXN,Alexion Pharmaceuticals,2019-12-05,-0.07209114
ALXN,Alexion Pharmaceuticals,2020-01-30,-0.064102225
ALXN,Alexion Pharmaceuticals,2020-03-16,-0.06258459
ALXN,Alexion Pharmaceuticals,2020-03-09,-0.06235209
AMAT,Applied Materials Inc-,2020-03-16,-0.22762401
AMAT,Applied Materials Inc-,2020-03-12,-0.15151875
AMAT,Applied Materials Inc-,2020-03-18,-0.13538012
AMAT,Applied Materials Inc-,2020-03-09,-0.104226805
AMAT,Applied Materials Inc-,2020-09-08,-0.09149525
AMCR,Amcor plc,2020-03-12,-0.17608324
AMCR,Amcor plc,2020-03-16,-0.1364683
AMCR,Amcor plc,2020-03-11,-0.11569498
AMCR,Amcor plc,2020-03-23,-0.09777902
AMCR,Amcor plc,2020-06-11,-0.0663052
AMD,Advanced Micro Devices Inc,2020-03-12,-0.15828033
AMD,Advanced Micro Devices Inc,2020-03-16,-0.12581642
AMD,Advanced Micro Devices Inc,2020-03-09,-0.115958184
AMD,Advanced Micro Devices Inc,2020-09-03,-0.08896811
AMD,Advanced Micro Devices Inc,2020-06-11,-0.08366165
AME,AMETEK Inc-,2020-03-16,-0.17633411
AME,AMETEK Inc-,2020-03-09,-0.14907989
AME,AMETEK Inc-,2020-03-12,-0.13462311
AME,AMETEK Inc-,2020-03-20,-0.085260905
AME,AMETEK Inc-,2020-03-23,-0.0849334
AMGN,Amgen Inc-,2020-03-12,-0.08621992
AMGN,Amgen Inc-,2020-10-08,-0.07066591
AMGN,Amgen Inc-,2020-03-16,-0.06871024
AMGN,Amgen Inc-,2020-03-09,-0.06006401
AMGN,Amgen Inc-,2020-03-20,-0.05432717
AMP,Ameriprise Financial,2020-03-16,-0.27209917
AMP,Ameriprise Financial,2020-03-12,-0.18120286
AMP,Ameriprise Financial,2020-03-09,-0.1484927
AMP,Ameriprise Financial,2020-06-11,-0.102156065
AMP,Ameriprise Financial,2020-04-15,-0.092994414
AMT,American Tower Corp-,2020-03-16,-0.16444804
AMT,American Tower Corp-,2020-03-23,-0.087109104
AMT,American Tower Corp-,2020-03-20,-0.06733669
AMT,American Tower Corp-,2020-03-12,-0.0668942
AMT,American Tower Corp-,2020-03-09,-0.06049779
AMZN,Amazon-com Inc-,2020-03-12,-0.08253502
AMZN,Amazon-com Inc-,2020-05-01,-0.079015195
AMZN,Amazon-com Inc-,2020-10-30,-0.0559953
AMZN,Amazon-com Inc-,2020-03-16,-0.05519296
AMZN,Amazon-com Inc-,2020-03-09,-0.0543019
ANET,Arista Networks,2020-03-16,-0.11829234
ANET,Arista Networks,2020-08-05,-0.11577261
ANET,Arista Networks,2020-03-12,-0.11202984
ANET,Arista Networks,2020-03-11,-0.093012415
ANET,Arista Networks,2020-03-20,-0.078320235
ANSS,ANSYS,2020-03-16,-0.13179736
ANSS,ANSYS,2020-02-27,-0.101342656
ANSS,ANSYS,2020-04-01,-0.09571892
ANSS,ANSYS,2020-03-09,-0.066823326
ANSS,ANSYS,2020-03-12,-0.062883355
ANTM,Anthem,2020-03-16,-0.18785584
ANTM,Anthem,2020-03-18,-0.14108877
ANTM,Anthem,2020-03-12,-0.0948098
ANTM,Anthem,2020-03-23,-0.09240197
ANTM,Anthem,2020-06-11,-0.086841255
AON,Aon plc,2020-03-09,-0.18275928
AON,Aon plc,2020-04-01,-0.071315356
AON,Aon plc,2020-06-11,-0.06706093
AON,Aon plc,2020-03-12,-0.0641277
AON,Aon plc,2020-04-15,-0.05340315
AOS,A-O- Smith Corp,2020-07-30,-0.09519762
AOS,A-O- Smith Corp,2020-03-16,-0.08812946
AOS,A-O- Smith Corp,2020-04-01,-0.05994714
AOS,A-O- Smith Corp,2020-03-20,-0.058676004
AOS,A-O- Smith Corp,2020-03-03,-0.057732448
APA,Apache Corporation,2020-03-09,-0.7735926
APA,Apache Corporation,2020-03-16,-0.39070466
APA,Apache Corporation,2020-03-11,-0.26840657
APA,Apache Corporation,2020-03-17,-0.20230003
APA,Apache Corporation,2020-03-27,-0.16989905
APD,Air Products & Chemicals Inc,2020-03-16,-0.13472278
APD,Air Products & Chemicals Inc,2020-03-09,-0.113076285
APD,Air Products & Chemicals Inc,2020-03-12,-0.10157136
APD,Air Products & Chemicals Inc,2020-11-11,-0.09869042
APD,Air Products & Chemicals Inc,2020-03-23,-0.0679172
APH,Amphenol Corp,2020-03-16,-0.15251888
APH,Amphenol Corp,2020-03-12,-0.11493902
APH,Amphenol Corp,2020-03-09,-0.07898988
APH,Amphenol Corp,2020-03-11,-0.07121343
APH,Amphenol Corp,2020-03-27,-0.06389036
APTV,Aptiv PLC,2020-03-18,-0.36460176
APTV,Aptiv PLC,2020-03-16,-0.26257494
APTV,Aptiv PLC,2020-06-09,-0.14209032
APTV,Aptiv PLC,2020-03-12,-0.12382537
APTV,Aptiv PLC,2020-06-11,-0.12217522
ARE,Alexandria Real Estate Equities,2020-03-16,-0.18889523
ARE,Alexandria Real Estate Equities,2020-03-12,-0.10434086
ARE,Alexandria Real Estate Equities,2020-03-23,-0.070465274
ARE,Alexandria Real Estate Equities,2020-03-09,-0.070044205
ARE,Alexandria Real Estate Equities,2020-04-13,-0.06851768
ATO,Atmos Energy,2020-03-20,-0.13348794
ATO,Atmos Energy,2020-03-12,-0.08276881
ATO,Atmos Energy,2020-04-20,-0.07666838
ATO,Atmos Energy,2020-03-16,-0.0719631
ATO,Atmos Energy,2020-03-19,-0.0717704
ATVI,Activision Blizzard,2020-03-16,-0.1124619
ATVI,Activision Blizzard,2020-03-12,-0.08381407
ATVI,Activision Blizzard,2020-10-02,-0.054430097
ATVI,Activision Blizzard,2020-08-07,-0.0516327
ATVI,Activision Blizzard,2020-04-28,-0.048894506
AVB,AvalonBay Communities,2020-03-16,-0.16688938
AVB,AvalonBay Communities,2020-03-18,-0.16557828
AVB,AvalonBay Communities,2020-03-20,-0.10758423
AVB,AvalonBay Communities,2020-03-23,-0.083467446
AVB,AvalonBay Communities,2020-03-12,-0.07345232
AVGO,Broadcom Inc-,2020-03-16,-0.22205542
AVGO,Broadcom Inc-,2020-03-18,-0.17267449
AVGO,Broadcom Inc-,2020-03-12,-0.11714293
AVGO,Broadcom Inc-,2020-03-09,-0.08408381
AVGO,Broadcom Inc-,2020-06-11,-0.06997058
AVY,Avery Dennison Corp,2020-03-23,-0.14238104
AVY,Avery Dennison Corp,2020-03-20,-0.12655501
AVY,Avery Dennison Corp,2020-03-16,-0.08937945
AVY,Avery Dennison Corp,2020-03-11,-0.08149772
AVY,Avery Dennison Corp,2020-06-11,-0.08099681
AWK,American Water Works Company Inc,2020-03-20,-0.13392857
AWK,American Water Works Company Inc,2020-03-19,-0.122174576
AWK,American Water Works Company Inc,2020-03-12,-0.09456238
AWK,American Water Works Company Inc,2020-03-16,-0.07676771
AWK,American Water Works Company Inc,2020-03-18,-0.062720664
AXP,American Express Co,2020-03-18,-0.16038787
AXP,American Express Co,2020-03-16,-0.14832759
AXP,American Express Co,2020-03-12,-0.13266306
AXP,American Express Co,2020-03-09,-0.09642866
AXP,American Express Co,2020-04-01,-0.095146716
AZO,AutoZone Inc,2020-03-16,-0.17360505
AZO,AutoZone Inc,2020-03-20,-0.12767567
AZO,AutoZone Inc,2020-03-18,-0.12256234
AZO,AutoZone Inc,2020-03-12,-0.10733877
AZO,AutoZone Inc,2020-04-01,-0.08525922
BA,Boeing Company,2020-03-16,-0.27244425
BA,Boeing Company,2020-03-11,-0.20029075
BA,Boeing Company,2020-03-12,-0.19977792
BA,Boeing Company,2020-03-18,-0.19751616
BA,Boeing Company,2020-06-11,-0.17942522
BAC,Bank of America Corp,2020-03-16,-0.16720457
BAC,Bank of America Corp,2020-03-09,-0.1590244
BAC,Bank of America Corp,2020-06-11,-0.105778314
BAC,Bank of America Corp,2020-03-12,-0.10012989
BAC,Bank of America Corp,2020-03-23,-0.084288284
BAX,Baxter International Inc-,2020-03-16,-0.12364968
BAX,Baxter International Inc-,2020-03-09,-0.0852879
BAX,Baxter International Inc-,2020-03-19,-0.078930095
BAX,Baxter International Inc-,2020-03-11,-0.062275503
BAX,Baxter International Inc-,2020-07-30,-0.053424507
BBY,Best Buy Co- Inc-,2020-03-12,-0.16548386
BBY,Best Buy Co- Inc-,2020-03-18,-0.11067967
BBY,Best Buy Co- Inc-,2020-11-09,-0.10314182
BBY,Best Buy Co- Inc-,2020-03-09,-0.09887922
BBY,Best Buy Co- Inc-,2020-04-15,-0.075661905
BDX,Becton Dickinson,2020-02-06,-0.12553616
BDX,Becton Dickinson,2020-03-23,-0.09295965
BDX,Becton Dickinson,2020-08-06,-0.08778471
BDX,Becton Dickinson,2020-05-20,-0.07989393
BDX,Becton Dickinson,2020-03-19,-0.0604116
BEN,Franklin Resources,2020-10-27,-0.1463731
BEN,Franklin Resources,2020-03-20,-0.13950469
BEN,Franklin Resources,2020-03-12,-0.11486172
BEN,Franklin Resources,2020-03-09,-0.10407827
BEN,Franklin Resources,2020-03-23,-0.09946076
BF-B,Brown-Forman Corp-,2020-03-20,-0.14566323
BF-B,Brown-Forman Corp-,2020-03-12,-0.109095745
BF-B,Brown-Forman Corp-,2019-12-05,-0.06501028
BF-B,Brown-Forman Corp-,2020-03-09,-0.061277457
BF-B,Brown-Forman Corp-,2020-03-18,-0.059902385
BIIB,Biogen Inc-,2020-11-09,-0.33082086
BIIB,Biogen Inc-,2020-04-22,-0.0989611
BIIB,Biogen Inc-,2020-03-12,-0.09016454
BIIB,Biogen Inc-,2020-03-16,-0.080086365
BIIB,Biogen Inc-,2020-06-18,-0.07815555
BIO,Bio-Rad Laboratories,2020-11-09,-0.10388517
BIO,Bio-Rad Laboratories,2020-03-12,-0.0774794
BIO,Bio-Rad Laboratories,2020-06-11,-0.066582486
BIO,Bio-Rad Laboratories,2020-03-09,-0.06399759
BIO,Bio-Rad Laboratories,2020-03-11,-0.0611365
BK,The Bank of New York Mellon,2020-03-16,-0.15669324
BK,The Bank of New York Mellon,2020-03-12,-0.14715765
BK,The Bank of New York Mellon,2020-03-09,-0.08550807
BK,The Bank of New York Mellon,2020-01-16,-0.08155626
BK,The Bank of New York Mellon,2020-03-11,-0.0664555
BKNG,Booking Holdings Inc,2020-03-12,-0.11920517
BKNG,Booking Holdings Inc,2020-03-27,-0.11349369
BKNG,Booking Holdings Inc,2020-03-18,-0.10348155
BKNG,Booking Holdings Inc,2020-03-16,-0.097206615
BKNG,Booking Holdings Inc,2020-06-11,-0.08732458
BKR,Baker Hughes Co,2020-03-09,-0.25184762
