Symbol,Name,Date,Log Return
XLB,Materials,2020-03-24,0.111184515
XLB,Materials,2020-04-06,0.07175831
XLB,Materials,2020-03-13,0.06782635
XLB,Materials,2020-03-17,0.06001335
XLB,Materials,2020-04-08,0.047776464
XLC,Communication Services,2020-03-13,0.08608672
XLC,Communication Services,2020-04-06,0.06387101
XLC,Communication Services,2020-03-24,0.059690468
XLC,Communication Services,2020-03-26,0.055390287
XLC,Communication Services,2020-03-10,0.049711376
XLE,Energy,2020-03-24,0.14874184
XLE,Energy,2020-11-09,0.13344501
XLE,Energy,2020-04-17,0.10095199
XLE,Energy,2020-03-13,0.08828303
XLE,Energy,2020-04-02,0.08764473
XLF,Financials,2020-03-13,0.123602465
XLF,Financials,2020-03-24,0.11690184
XLF,Financials,2020-11-09,0.07893267
XLF,Financials,2020-04-06,0.06933225
XLF,Financials,2020-03-26,0.060884263
XLI,Industrials,2020-03-24,0.119126275
XLI,Industrials,2020-03-13,0.075208485
XLI,Industrials,2020-04-06,0.066931844
XLI,Industrials,2020-05-18,0.06384457
XLI,Industrials,2020-03-26,0.061204206
XLK,Technology,2020-03-13,0.110932276
XLK,Technology,2020-03-24,0.09750301
XLK,Technology,2020-04-06,0.081876256
XLK,Technology,2020-03-17,0.06586416
XLK,Technology,2020-03-10,0.0645689
XLP,Consumer Staples,2020-03-13,0.08167808
XLP,Consumer Staples,2020-03-17,0.08096065
XLP,Consumer Staples,2020-03-26,0.053292416
XLP,Consumer Staples,2020-03-02,0.052077577
XLP,Consumer Staples,2020-03-24,0.04973954
XLRE,Real Estate,2020-03-13,0.08415771
XLRE,Real Estate,2020-03-24,0.08360159
XLRE,Real Estate,2020-03-26,0.07398441
XLRE,Real Estate,2020-04-08,0.07240207
XLRE,Real Estate,2020-04-06,0.06985714
XLU,Utilities,2020-03-17,0.1203879
XLU,Utilities,2020-03-24,0.102105685
XLU,Utilities,2020-03-26,0.081804864
XLU,Utilities,2020-04-06,0.07439756
XLU,Utilities,2020-03-02,0.05719409
XLV,Health Care,2020-03-24,0.0742324
XLV,Health Care,2020-03-13,0.06705663
XLV,Health Care,2020-03-26,0.06431589
XLV,Health Care,2020-03-17,0.06088369
XLV,Health Care,2020-03-04,0.056047123
XLY,Consumer Discretionary,2020-03-24,0.08965459
XLY,Consumer Discretionary,2020-04-06,0.07993443
XLY,Consumer Discretionary,2020-03-13,0.06002614
XLY,Consumer Discretionary,2020-03-10,0.053817354
XLY,Consumer Discretionary,2020-03-26,0.040534526
