Symbol,Name,GICS Sector,GICS Sub-Industry,ReturnSum
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",-0.8671729506895645
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,-0.8293663328804541
CCL,Carnival Corp-,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",-0.8222195913549513
FTI,TechnipFMC,Energy,Oil & Gas Equipment & Services,-0.7893600243842229
HFC,HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,-0.7139282130083302
MRO,Marathon Oil Corp-,Energy,Oil & Gas Exploration & Production,-0.7139251779881306
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,-0.6703806457808241
UAL,United Airlines Holdings,Industrials,Airlines,-0.6636858408892294
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,-0.6585160853428533
WFC,Wells Fargo,Financials,Diversified Banks,-0.6399928633327363
