Symbol,Name,GICS Sector,GICS Sub-Industry,ReturnSum,Rank
CARR,Carrier Global,Industrials,Building Products,1.160282130498672,1
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,1.0641505395324202,2
NVDA,Nvidia Corporation,Information Technology,Semiconductors,0.859651091224805,3
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,0.6810883319267305,4
CTLT,Catalent,Health Care,Pharmaceuticals,0.6778738843568135,5
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,0.6537753808370326,6
LB,L Brands Inc-,Consumer Discretionary,Apparel Retail,0.6526281373517122,7
ALB,Albemarle Corp,Materials,Specialty Chemicals,0.6152673554606736,8
NOW,ServiceNow,Information Technology,Systems Software,0.5893389845878119,9
ROL,Rollins Inc-,Industrials,Environmental & Facilities Services,0.5790538580768043,10
IDXX,IDEXX Laboratories,Health Care,Health Care Equipment,0.5741989682428539,11
AMZN,Amazon-com Inc-,Consumer Discretionary,Internet & Direct Marketing Retail,0.5701196501831873,12
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,0.543170793185709,13
AAPL,Apple Inc-,Information Technology,"Technology Hardware, Storage & Peripherals",0.5333109458297258,14
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,0.5300902409871924,15
PWR,Quanta Services Inc-,Industrials,Construction & Engineering,0.5277459065546282,16
ALGN,Align Technology,Health Care,Health Care Supplies,0.5267931327398401,17
CDNS,Cadence Design Systems,Information Technology,Application Software,0.517061604958144,18
FDX,FedEx Corporation,Industrials,Air Freight & Logistics,0.5049951148976106,19
SNPS,Synopsys Inc-,Information Technology,Application Software,0.5044951657037018,20
BIO,Bio-Rad Laboratories,Health Care,Life Sciences Tools & Services,0.4957931439203094,21
POOL,Pool Corporation,Consumer Discretionary,Distributors,0.4917214751476422,22
ODFL,Old Dominion Freight Line,Industrials,Trucking,0.4916383640811546,23
QCOM,QUALCOMM Inc-,Information Technology,Semiconductors,0.48940591541759204,24
NEM,Newmont Corporation,Materials,Gold,0.4719229433685541,25
NFLX,Netflix Inc-,Communication Services,Movies & Entertainment,0.4619671042819391,26
DXCM,DexCom,Health Care,Health Care Equipment,0.45978251733322395,27
FCX,Freeport-McMoRan Inc-,Materials,Copper,0.4416120548848994,28
DHR,Danaher Corp-,Health Care,Health Care Equipment,0.43803332536117523,29
ABMD,ABIOMED Inc,Health Care,Health Care Equipment,0.43392586735717487,30
CRM,Salesforce-com,Information Technology,Application Software,0.4321495336407679,31
DVA,DaVita Inc-,Health Care,Health Care Facilities,0.4221572208844009,32
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,0.4193412538879784,33
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,0.41865058161783963,34
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,0.41351768695312785,35
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,0.4097377445723396,36
LRCX,Lam Research,Information Technology,Semiconductor Equipment,0.40531261909927707,37
TER,Teradyne,Information Technology,Semiconductor Equipment,0.4036093711765716,38
MSCI,MSCI Inc,Financials,Financial Exchanges & Data,0.3968391165326466,39
BLL,Ball Corp,Materials,Metal & Glass Containers,0.3917716506985016,40
PAYC,Paycom,Information Technology,Application Software,0.3860076764540281,41
DE,Deere & Co-,Industrials,Agricultural & Farm Machinery,0.37617119451169856,42
ADBE,Adobe Inc-,Information Technology,Application Software,0.3712014445627574,43
OTIS,Otis Worldwide,Industrials,Industrial Machinery,0.3709156039112713,44
TYL,Tyler Technologies,Information Technology,Application Software,0.3613372162799351,45
TT,Trane Technologies plc,Industrials,Building Products,0.35810915364709217,46
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores,0.34233874193159863,47
TWTR,"Twitter, Inc-",Communication Services,Interactive Media & Services,0.33928209423902445,48
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,0.33657502819551155,49
FB,"Facebook, Inc-",Communication Services,Interactive Media & Services,0.33597412836388685,50
MKTX,MarketAxess,Financials,Financial Exchanges & Data,0.3333485719631426,51
MSFT,Microsoft Corp-,Information Technology,Systems Software,0.330798082795809,52
PKI,PerkinElmer,Health Care,Health Care Equipment,0.32280581508530304,53
IPGP,IPG Photonics Corp-,Information Technology,Electronic Manufacturing Services,0.3212062869570218,54
ANET,Arista Networks,Information Technology,Communications Equipment,0.32112286241317634,55
SIVB,SVB Financial,Financials,Regional Banks,0.3198496147815604,56
RMD,ResMed,Health Care,Health Care Equipment,0.31957202334160684,57
CHTR,Charter Communications,Communication Services,Cable & Satellite,0.319417957940459,58
EBAY,eBay Inc-,Consumer Discretionary,Internet & Direct Marketing Retail,0.31835091787797865,59
UPS,United Parcel Service,Industrials,Air Freight & Logistics,0.3177207802509656,60
KLAC,KLA Corporation,Information Technology,Semiconductor Equipment,0.3164122194102674,61
CLX,The Clorox Company,Consumer Staples,Household Products,0.3133734083348827,62
CTAS,Cintas Corporation,Industrials,Diversified Support Services,0.3114453122834675,63
ADSK,Autodesk Inc-,Information Technology,Application Software,0.3085083519545151,64
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,0.3080818024027394,65
INTU,Intuit Inc-,Information Technology,Application Software,0.3035423851397354,66
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,0.30300733077456243,67
EQIX,Equinix,Real Estate,Specialized REITs,0.30145934721622325,68
PGR,Progressive Corp-,Financials,Property & Casualty Insurance,0.2967129694079631,69
MNST,Monster Beverage,Consumer Staples,Soft Drinks,0.29604825262504164,70
MXIM,Maxim Integrated Products Inc,Information Technology,Semiconductors,0.2945215279178228,71
DHI,D- R- Horton,Consumer Discretionary,Homebuilding,0.2922874725481961,72
AWK,American Water Works Company Inc,Utilities,Water Utilities,0.2883642141096061,73
BLK,BlackRock,Financials,Asset Management & Custody Banks,0.2882346967162448,74
DPZ,Domino's Pizza,Consumer Discretionary,Restaurants,0.2878532360919053,75
BBY,Best Buy Co- Inc-,Consumer Discretionary,Computer & Electronics Retail,0.2869241221342236,76
LOW,Lowe's Cos-,Consumer Discretionary,Home Improvement Retail,0.2821914416635991,77
