Symbol,Name,GICS Sector,GICS Sub-Industry,ReturnSum,Rank
A,Agilent Technologies Inc,Health Care,Health Care Equipment,0.2658650078519713,85
AAL,American Airlines Group,Industrials,Airlines,-0.8246340298792347,497
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,0.0032520393797312863,279
AAPL,Apple Inc-,Information Technology,"Technology Hardware, Storage & Peripherals",0.5333109458297258,14
ABBV,AbbVie Inc-,Health Care,Pharmaceuticals,0.10206761888548499,206
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,0.2293596839735983,107
ABMD,ABIOMED Inc,Health Care,Health Care Equipment,0.43392586735717487,30
ABT,Abbott Laboratories,Health Care,Health Care Equipment,0.2648540032969322,86
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,0.16501822439022362,154
ADBE,Adobe Inc-,Information Technology,Application Software,0.3712014445627574,43
ADI,"Analog Devices, Inc-",Information Technology,Semiconductors,0.1366918985004304,177
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,0.08101260097464547,221
ADP,Automatic Data Processing,Information Technology,Internet Services & Infrastructure,0.017871322939754464,273
ADSK,Autodesk Inc-,Information Technology,Application Software,0.3085083519545151,64
AEE,Ameren Corp,Utilities,Multi-Utilities,0.08061113684379961,222
AEP,American Electric Power,Utilities,Electric Utilities,-0.03455780311196577,313
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,0.07458722597220913,229
AFL,AFLAC Inc,Financials,Life & Health Insurance,-0.24543653716682456,419
AIG,American International Group,Financials,Property & Casualty Insurance,-0.32978946386720054,443
AIV,Apartment Investment & Management,Real Estate,Residential REITs,-0.5021680921781808,478
AIZ,Assurant,Financials,Multi-line Insurance,0.02341633811010979,269
AJG,Arthur J- Gallagher & Co-,Financials,Insurance Brokers,0.1969996821062523,133
AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,0.17183794833545107,146
ALB,Albemarle Corp,Materials,Specialty Chemicals,0.6152673554606736,8
ALGN,Align Technology,Health Care,Health Care Supplies,0.5267931327398401,17
ALK,Alaska Air Group Inc,Industrials,Airlines,-0.4350282759114634,468
ALL,Allstate Corp,Financials,Property & Casualty Insurance,-0.12530305697146105,366
ALLE,Allegion,Industrials,Building Products,-0.06503184990287991,330
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,0.13729550398420542,175
AMAT,Applied Materials Inc-,Information Technology,Semiconductor Equipment,0.19417561672162265,135
AMCR,Amcor plc,Materials,Paper Packaging,0.09141612006351352,215
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,0.6537753808370326,6
AME,AMETEK Inc-,Industrials,Electrical Components & Equipment,0.16673626568808686,151
AMGN,Amgen Inc-,Health Care,Biotechnology,-0.024306168634211645,308
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,0.09908189954148838,209
AMT,American Tower Corp-,Real Estate,Specialized REITs,0.12000685987004545,196
AMZN,Amazon-com Inc-,Consumer Discretionary,Internet & Direct Marketing Retail,0.5701196501831873,12
ANET,Arista Networks,Information Technology,Communications Equipment,0.32112286241317634,55
ANSS,ANSYS,Information Technology,Application Software,0.24092660582391545,103
ANTM,Anthem,Health Care,Managed Health Care,0.13202225489658304,183
AON,Aon plc,Financials,Insurance Brokers,-0.012492542875406798,296
AOS,A-O- Smith Corp,Industrials,Building Products,0.1758418020035606,143
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,-0.7601355258375406,492
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,0.11825682925700676,201
APH,Amphenol Corp,Information Technology,Electronic Components,0.13524621847318485,178
APTV,Aptiv PLC,Consumer Discretionary,Auto Parts & Equipment,0.146206152101513,166
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,0.049894982104888186,246
ATO,Atmos Energy,Utilities,Gas Utilities,-0.05956454826082336,327
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,0.28001759164908435,79
AVB,AvalonBay Communities,Real Estate,Residential REITs,-0.21219449615455233,406
AVGO,Broadcom Inc-,Information Technology,Semiconductors,0.14486326057522092,168
AVY,Avery Dennison Corp,Materials,Paper Packaging,0.1340855265589198,180
AWK,American Water Works Company Inc,Utilities,Water Utilities,0.2883642141096061,73
AXP,American Express Co,Financials,Consumer Finance,-0.07285244286322268,336
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,-0.05832759642362362,325
BA,Boeing Company,Industrials,Aerospace & Defense,-0.5582634380771196,482
BAC,Bank of America Corp,Financials,Diversified Banks,-0.25090283720055595,420
BAX,Baxter International Inc-,Health Care,Health Care Equipment,-0.018048853758955374,305
BBY,Best Buy Co- Inc-,Consumer Discretionary,Computer & Electronics Retail,0.2869241221342236,76
BDX,Becton Dickinson,Health Care,Health Care Equipment,-0.10569818978547119,358
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,-0.24370112232281826,417
BF-B,Brown-Forman Corp-,Consumer Staples,Distillers & Vintners,0.21413678642420564,123
BIIB,Biogen Inc-,Health Care,Biotechnology,-0.19263332810805878,398
BIO,Bio-Rad Laboratories,Health Care,Life Sciences Tools & Services,0.4957931439203094,21
BK,The Bank of New York Mellon,Financials,Asset Management & Custody Banks,-0.2591199454473099,424
BKNG,Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail,0.02858477214431332,263
BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,-0.2928450377366971,430
BLK,BlackRock,Financials,Asset Management & Custody Banks,0.2882346967162448,74
BLL,Ball Corp,Materials,Metal & Glass Containers,0.3917716506985016,40
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,0.0018879558047046885,282
BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,0.1935232321266085,136
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,0.0025094883385463618,281
BSX,Boston Scientific,Health Care,Health Care Equipment,-0.17403739657311235,388
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,-0.15876786049921066,380
BXP,Boston Properties,Real Estate,Office REITs,-0.3924283892120002,461
C,Citigroup Inc-,Financials,Diversified Banks,-0.45777863122930285,471
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,0.22397653659572825,115
CAH,Cardinal Health Inc-,Health Care,Health Care Distributors,0.06715377861110028,237
CARR,Carrier Global,Industrials,Building Products,1.160282130498672,1
CAT,Caterpillar Inc-,Industrials,Construction Machinery & Heavy Trucks,0.16659360981429927,152
CB,Chubb Limited,Financials,Property & Casualty Insurance,-0.041148917021928355,317
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,-0.2895912009989843,429
CBRE,CBRE Group,Real Estate,Real Estate Services,-0.023751639964757487,307
CCI,Crown Castle International Corp-,Real Estate,Specialized REITs,0.222459265802172,118
CCL,Carnival Corp-,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",-1.076721349498257,504
CDNS,Cadence Design Systems,Information Technology,Application Software,0.517061604958144,18
CDW,CDW,Information Technology,Technology Distributors,-0.022280689794570208,306
CE,Celanese,Materials,Specialty Chemicals,0.037530722431256436,258
CERN,Cerner,Health Care,Health Care Technology,0.03767407913983334,257
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,-0.4171586778538767,466
CFG,Citizens Financial Group,Financials,Regional Banks,-0.23821060039335862,413
CHD,Church & Dwight,Consumer Staples,Household Products,0.23732001185999252,105
CHRW,C- H- Robinson Worldwide,Industrials,Air Freight & Logistics,0.1770078442787053,141
CHTR,Charter Communications,Communication Services,Cable & Satellite,0.319417957940459,58
CI,CIGNA Corp-,Health Care,Managed Health Care,0.11855145253139199,199
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,-0.2939457024476724,431
CL,Colgate-Palmolive,Consumer Staples,Household Products,0.21465690749755595,122
CLX,The Clorox Company,Consumer Staples,Household Products,0.3133734083348827,62
CMA,Comerica Inc-,Financials,Diversified Banks,-0.35300340756657533,452
CMCSA,Comcast Corp-,Communication Services,Cable & Satellite,0.1183699829125544,200
CME,CME Group Inc-,Financials,Financial Exchanges & Data,-0.2023454014561139,404
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,0.4193412538879784,33
CMI,Cummins Inc-,Industrials,Industrial Machinery,0.26319744918873766,89
CMS,CMS Energy,Utilities,Multi-Utilities,0.05042820450034924,245
CNC,Centene Corporation,Health Care,Managed Health Care,0.14015307572844904,172
CNP,CenterPoint Energy,Utilities,Multi-Utilities,-0.0830516911810264,344
COF,Capital One Financial,Financials,Consumer Finance,-0.1754739261814393,392
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,0.042312990088248625,253
COO,The Cooper Companies,Health Care,Health Care Supplies,0.0678113075409783,236
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,-0.5746922443649964,483
COST,Costco Wholesale Corp-,Consumer Staples,Hypermarkets & Super Centers,0.25523629333474673,95
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,0.025323006921098568,267
CPRT,Copart Inc,Industrials,Diversified Support Services,0.26630538311292185,84
CRM,Salesforce-com,Information Technology,Application Software,0.4321495336407679,31
CSCO,Cisco Systems,Information Technology,Communications Equipment,-0.10492559790145606,357
