Symbol,Name,GICS Sector,GICS Sub-Industry,ReturnSum
CARR,Carrier Global,Industrials,Building Products,1.160282130498672
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,1.0641505395324202
NVDA,Nvidia Corporation,Information Technology,Semiconductors,0.859651091224805
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,0.6810883319267305
CTLT,Catalent,Health Care,Pharmaceuticals,0.6778738843568135
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,0.6537753808370326
LB,L Brands Inc-,Consumer Discretionary,Apparel Retail,0.6526281373517122
ALB,Albemarle Corp,Materials,Specialty Chemicals,0.6152673554606736
NOW,ServiceNow,Information Technology,Systems Software,0.5893389845878119
ROL,Rollins Inc-,Industrials,Environmental & Facilities Services,0.5790538580768043
