Symbol,Name,Date,Log Return
A,Agilent Technologies Inc,2020-03-17,0.093849085
A,Agilent Technologies Inc,2020-03-13,0.08722158
A,Agilent Technologies Inc,2020-03-26,0.066167645
A,Agilent Technologies Inc,2020-03-02,0.061639246
A,Agilent Technologies Inc,2020-03-24,0.05570207
AAL,American Airlines Group,2020-06-04,0.34427768
AAL,American Airlines Group,2020-03-24,0.30604896
AAL,American Airlines Group,2020-06-12,0.1519627
AAL,American Airlines Group,2020-07-15,0.14981979
AAL,American Airlines Group,2020-03-10,0.14197026
AAP,Advance Auto Parts,2020-04-06,0.12384191
AAP,Advance Auto Parts,2020-03-24,0.09565751
AAP,Advance Auto Parts,2020-03-26,0.07203497
AAP,Advance Auto Parts,2020-02-18,0.059712734
AAP,Advance Auto Parts,2020-03-17,0.051162053
AAPL,Apple Inc-,2020-03-13,0.11315748
AAPL,Apple Inc-,2020-07-31,0.09956352
AAPL,Apple Inc-,2020-03-24,0.095605955
AAPL,Apple Inc-,2020-03-02,0.08901836
AAPL,Apple Inc-,2020-04-06,0.08364005
ABBV,AbbVie Inc-,2020-03-26,0.08358183
ABBV,AbbVie Inc-,2020-03-13,0.08249586
ABBV,AbbVie Inc-,2020-11-04,0.07171768
ABBV,AbbVie Inc-,2020-02-07,0.056960855
ABBV,AbbVie Inc-,2020-10-30,0.05346028
ABC,AmerisourceBergen Corp,2020-03-13,0.111676745
ABC,AmerisourceBergen Corp,2020-03-26,0.110575885
ABC,AmerisourceBergen Corp,2020-03-17,0.10598144
ABC,AmerisourceBergen Corp,2020-03-24,0.07703115
ABC,AmerisourceBergen Corp,2020-03-30,0.074439816
ABMD,ABIOMED Inc,2020-04-30,0.12202733
ABMD,ABIOMED Inc,2020-03-24,0.08214465
ABMD,ABIOMED Inc,2020-01-06,0.070693776
ABMD,ABIOMED Inc,2020-04-06,0.06077438
ABMD,ABIOMED Inc,2020-06-05,0.056784052
ABT,Abbott Laboratories,2020-03-24,0.103783384
ABT,Abbott Laboratories,2020-03-13,0.08842644
ABT,Abbott Laboratories,2020-03-17,0.07617124
ABT,Abbott Laboratories,2020-08-27,0.07556744
ABT,Abbott Laboratories,2020-03-26,0.06907764
ACN,Accenture plc,2020-03-26,0.12095421
ACN,Accenture plc,2020-03-13,0.08769404
ACN,Accenture plc,2020-03-24,0.087631755
ACN,Accenture plc,2020-04-06,0.08742213
ACN,Accenture plc,2020-06-25,0.07389567
ADBE,Adobe Inc-,2020-03-13,0.16313277
ADBE,Adobe Inc-,2020-08-26,0.08705094
ADBE,Adobe Inc-,2020-03-17,0.086297326
ADBE,Adobe Inc-,2020-03-10,0.08338029
ADBE,Adobe Inc-,2020-04-06,0.083346255
ADI,"Analog Devices, Inc-",2020-03-17,0.13713028
ADI,"Analog Devices, Inc-",2020-03-13,0.10314719
ADI,"Analog Devices, Inc-",2020-04-06,0.10142493
ADI,"Analog Devices, Inc-",2020-03-24,0.09588646
ADI,"Analog Devices, Inc-",2020-03-19,0.09383868
